Project Name (Link),Valuation,GC: Company Name,County,Target Start Date,Target Completion Date,Primary Project Type,Owner: Company Name,Owner: Company Phone,Work Type,Address,City,GC: Company Phone,GC: Company Address,GC: Company City,GC: Contact Name,GC: Company County,GC: Company Email,Delivery System,Specs Available,GC: Company Website,Tags (Private),Tags (Shared),User Notes,Comments
Shamrock Hills TK-8 School LEASE/LEASE BACK,$ 85000000,"BHM Construction, Inc.",ALAMEDA,2024-10-01,,Middle/Senior High School,Dublin Unified School District,9258282551.0,New Project,5500 Horizon Pkwy,DUBLIN,7076434580.0,221 GATEWAY RD W STE 405,NAPA,,NAPA,bids@bhmconstruction.com,Design-Bid-Build,Y,http://www.bhmconstruction.com,MADE CONTACT,,,
Reliez Valley Pipeline Replacement,$ 4500000 - $ 5000000,East Bay Municipal Utility District,CONTRA COSTA,2025-03-01,2025-12-01,Water Line,East Bay Municipal Utility District,5102870454.0,New Project,"Reliez Valley Rd, Almaden Rd, Kim Rd, Reliez Valley Ct, Vaugh Rd Hermosa Wy",LAFAYETTE,5102870454.0,375 11th St Fl 2,Oakland,,ALAMEDA,nharlow42@comcast.net,Owner Uses Own Forces,Y,https://www.ebmud.com/,,,,
McBride Res Electrical Utilities,$ 500000 - $ 749999,,SANTA CLARA,2025-04-01,,Power Lines,,,New Project,,Palo Alto,,,,,,,Design-Bid-Build,N,,,,,
Pump Station H Rehabilitation Phase 2,$ 9257000,"A & B Construction, Inc.",ALAMEDA,2025-04-01,,Sewage Treatment Plant,East Bay Municipal Utility District,5102870454.0,"Alterations, New Project",4399 Oakport St,OAKLAND,9498301103.0,14 Hughes Ste 104,Irvine,,ORANGE,marcozarate78@hotmail.com,Design-Bid-Build,Y,http://badraunbuilders.com,FOLLOW UP  | REACH OUT,,,
112 Vera Ave Multi-Family Development,$ 25000000 - $ 49999999,,SAN MATEO,2025-03-01,,Apartments/Condominiums 4  Stories,Integrated Community Development,8189053836.0,New Project,112 Vera Ave,REDWOOD CITY,,,,,,,Design-Bid-Build,N,,REACH OUT,,,
Regional St Senior Affordable Apartments,$ 25000000 - $ 49999999,"ROEM Builders, Inc.",ALAMEDA,2025-03-01,2026-07-01,Apartments/Condominiums 4  Stories,,,New Project,6543 Regional Street,DUBLIN,4089845600.0,1650 LAFAYETTE ST,SANTA CLARA,,SANTA CLARA,bids@roemcorp.com,Owner Uses Own Forces,N,http://www.roemcorp.com,FOLLOW UP,,,
"Lorton Heights Apartments (Burlingame, CA)",$ 5000000 - $ 9999999,,SAN MATEO,2025-04-01,,Apartments/Condominiums 4  Stories,The Zeka Group Inc,6503427955.0,New Project,128 Lorton Ave,BURLINGAME,,,,,,,Design-Bid-Build,N,,REACH OUT,,,
2025 Major Streets Remove and Replace Pavement,$ 3094818,"G. Bortolotto & Co., Inc.",SANTA CLARA,2025-04-01,,Paving,City of San Jose,4085353500.0,"Alterations, New Project",Various Locations,SAN JOSE,6505952591.0,582 Bragato Rd,San Carlos,,SAN MATEO,gbort@pacbell.net,Design-Bid-Build,N,,REACH OUT,,,
CA/DOT: Lawler Ranch Parkway RHMA Improvements,$ 18916084,"Bay Cities Paving & Grading, Inc.",SOLANO,2025-03-01,,Paving,State of California Department of Transportation,9166542852.0,"Alterations, New Project",Lawler Ranch Parkway,SUISUN CITY,9256876666.0,1450 Civic Ct Bldg B,Concord,,CONTRA COSTA,estimating@baycities.us,Design-Bid-Build,N,https://www.baycities.us,REACH OUT,,,
House,$ 1500000,,CONTRA COSTA,,,Sale/Spec Homes,Tapia Const,,New Project,931 Livorna Rd,Alamo,,,,,,,,,,,,,
House,$ 1400000,,CONTRA COSTA,,,Sale/Spec Homes,Saap Const LLC,,New Project,10 Xavier Ct,Alamo,,,,,,,,,,,,,
Enrico Cinquini Park,$ 5673851,"R&R Pacific Construction, Inc",CONTRA COSTA,2025-03-01,2026-01-01,Miscellaneous Recreational,City of Oakley,9256257037.0,"Alterations, New Project",Rose Ave Carpenter Rd,OAKLEY,5306687525.0,Po Box 1029,Woodland,,YOLO,estimating@rrpaccon.com,Design-Bid-Build,N,,REACH OUT,,,
Concrete or Asphalt Repair and Replacement IQC,$ 800000,Bay Area Paving Co.,SAN MATEO,2025-03-01,,Paving,City of Redwood City,6507807474.0,"Alterations, New Project",Various Locations,Redwood City,8005415559.0,24200 Clawiter Rd,Hayward,,ALAMEDA,,Design-Bid-Build,Y,,,,,
House,$ 1116734,,CONTRA COSTA,,,Sale/Spec Homes,Davidon Homes,,New Project,10 Charolais Ct,Danville,,,,,,,,,,,,,
House,$ 1164124,,CONTRA COSTA,,,Sale/Spec Homes,Davidon Homes,,New Project,7 Charolais Ct,Danville,,,,,,,,,,,,,
Home Depot Industrial Facility,$ 100000000,Arch-con Construction,SAN JOAQUIN,2025-03-01,2026-07-01,Warehouse,Trammell Crow Company,4157720123.0,New Project,320 McCloy Ave,STOCKTON,7135331900.0,190 T C Jester Blvd Ste 300,Houston,,HARRIS,dtrujillo@arch-con.com,Contract Method Undetermined,N,http://www.arch-con.com/,FOLLOW UP  | REACH OUT,,,
House,$ 1339744,,CONTRA COSTA,,,Sale/Spec Homes,Davidon Homes,,New Project,21 Charolais Ct,Danville,,,,,,,,,,,,,
House,$ 1164124,,CONTRA COSTA,,,Sale/Spec Homes,Davidon Homes,,New Project,22 Charolais Ct,Danville,,,,,,,,,,,,,
House,$ 1042313,,CONTRA COSTA,,,Sale/Spec Homes,Davidon Homes,,New Project,18 Charolais Ct,Danville,,,,,,,,,,,,,
House,$ 1164124,,CONTRA COSTA,,,Sale/Spec Homes,Davidon Homes,,New Project,6 Charolais Ct,Danville,,,,,,,,,,,,,
Springfield Water System Improvements,$ 11478950,"Anderson Pacific Engineering Construction, Inc.",SANTA CRUZ,2025-03-01,,Water Treatment Plant,Pajaro/Sunny Mesa Community Services District,8317221389.0,"Alterations, New Project",SPRINGFIELD,MOUNT MADONNA,4089709900.0,1370 Norman Ave,Santa Clara,,SANTA CLARA,,Design-Bid-Build,Y,http://andpac.com/,REACH OUT,,,
House,$ 1028673,,CONTRA COSTA,,,Sale/Spec Homes,Davidon Homes,,New Project,11 Charolais Ct,Danville,,,,,,,,,,,,,
House,$ 1116734,,CONTRA COSTA,,,Sale/Spec Homes,Davidon Homes,,New Project,14 Charolais Ct,Danville,,,,,,,,,,,,,
House,$ 1165369,,CONTRA COSTA,,,Sale/Spec Homes,Davidon Homes,,New Project,25 Charolais Ct,Danville,,,,,,,,,,,,,
House,$ 1042313,,CONTRA COSTA,,,Sale/Spec Homes,Davidon Homes,,New Project,19 Charolais Ct,Danville,,,,,,,,,,,,,
House,$ 1164124,,CONTRA COSTA,,,Sale/Spec Homes,Davidon Homes,,New Project,15 Charolais Ct,Danville,,,,,,,,,,,,,
House,$ 1164124,,CONTRA COSTA,,,Sale/Spec Homes,Davidon Homes,,New Project,31 Charolais Ct,Danville,,,,,,,,,,,,,
House,$ 1042313,,CONTRA COSTA,,,Sale/Spec Homes,Davidon Homes,,New Project,3 Charolais Ct,Danville,,,,,,,,,,,,,
House,$ 1116734,,CONTRA COSTA,,,Sale/Spec Homes,Davidon Homes,,New Project,29 Charolais Ct,Danville,,,,,,,,,,,,,
Toll Bros Tarob - Geoma Townhomes,$ 25000000 - $ 49999999,Toll Brothers,SANTA CLARA,2025-03-01,2026-07-01,Apartments/Condominiums 1-3 Stories,,,New Project,675 Trade Zone Blvd 1951 Tarob Court,MILPITAS,9252496022.0,6800 Koll Center Pkwy Ste 320,Pleasanton,,ALAMEDA,,Owner Uses Own Forces,N,https://www.tollbrothers.com/,,,,
US 101 SR 25 Phase 1 Improvements,$ 82524837,Desilva Gates Construction,ALAMEDA,2025-04-01,2028-11-01,Paving,Santa Clara Valley Transportation Authority (VTA),4083212300.0,"Alterations, New Project",11555 Dublin Blvd,DUBLIN,9258299220.0,12 N Sunset Ave,San Jose,,SANTA CLARA,,Design-Bid-Build,N,,,,,
Martial Cottle Park Sanitary Sewer Manhole Replacement,$ 1360750,"JMB Construction, Inc.",SANTA CLARA,2025-04-01,,Sanitary Sewer,City of San Jose,4085353500.0,"Alterations, New Project",5283 Snell Ave,SAN JOSE,6502675300.0,132 S Maple Ave,South San Francisco,,SAN MATEO,dwilkins@jmbconstruction.com,Design-Bid-Build,Y,http://www.jmbconstruction.com,,,,
Twin Pines Park Belmont Creek Restoration Phase 1,$ 1764341,,SAN MATEO,2025-04-01,,Site Development,City of Belmont Public Works Dept,6505957425.0,"Alterations, New Project",1 Twin Pines Ln,BELMONT,,,,,,,Design-Bid-Build,Y,,,,,
House,$ 686488,,SANTA CLARA,,,Sale/Spec Homes,Thomas James Homes,,New Project,1033 Marilyn Dr,Mountain View,,,,,,,,,,,,,
West Cliff Drive Residential Project,$ 500000 - $ 749999,Putney Construction,SANTA CRUZ,2025-02-01,2026-04-01,Custom Homes,,,New Project,W Cliff Dr,SANTA CRUZ,8314219777.0,340 Soquel Ave Ste 109,Santa Cruz,,SANTA CRUZ,,,N,,,,,
SJCOE Culinary Lab Venture Academy Renovation REBID,$ 500000 - $ 999999,,SAN JOAQUIN,2025-04-01,,Food/Beverage Service,San Joaquin County Office of Education,2094684800.0,"Alterations, New Project",2829 Transworld Dr,STOCKTON,,,,,,,Design-Bid-Build,Y,,,,,
House,$ 534225,,MENDOCINO,,,Sale/Spec Homes,Kirkman Jason Ttee,,New Project,1401 N Hwy 1,Albion,,,,,,,,,,,,,
House,$ 1000000,,SANTA CLARA,,,Sale/Spec Homes,Mason Hammer Bldrs Inc,,New Project,109 Sporleder Ct,Los Gatos,,,,,,,,,,,,,
House,$ 1000000,,SANTA CLARA,,,Sale/Spec Homes,Mason Hammer Bldrs Inc,,New Project,110 Sporleder Ct,Los Gatos,,,,,,,,,,,,,
House,$ 812160,,SANTA CLARA,,,Sale/Spec Homes,Jafar Bonakdar,,New Project,20388 Hill Ave,Saratoga,,,,,,,,,,,,,
House,$ 1977600,,SANTA CLARA,,,Sale/Spec Homes,Praful Sharma,,New Project,14233 Elva Ave,Saratoga,,,,,,,,,,,,,
Madison Primary Site Improvements,$ 1347100,"Redgwick Construction, Inc.",ALAMEDA,2025-03-01,2025-05-01,Park/Playground,Oakland Unified School District Facilities & Mgmt,4086135703.0,"Alterations, New Project",470 El Paseo Dr,OAKLAND,5107921727.0,21 Hegenberger Ct,Oakland,,ALAMEDA,estimating@redgwick.com,Design-Bid-Build,Y,http://www.redgwick.com,,,,
House,$ 500057,,SOLANO,,,Sale/Spec Homes,One Lake Holding LLC,,New Project,2622 Noelani Dr Lot # Lot 70,Fairfield,,,,,,,,,,,,,
Hildebrand Hall COC Improvements,$ 593364,,ALAMEDA,2024-12-01,2025-05-01,Testing/Research/Development Lab,University of California Berkeley,5104955786.0,"Alterations, New Project",Oxford St,BERKELEY,,,,,,,Design-Bid-Build,N,,,,,
House,$ 528027,,SOLANO,,,Sale/Spec Homes,One Lake Holding LLC,,New Project,2618 Noelani Dr Lot # Lot 71,Fairfield,,,,,,,,,,,,,
House,$ 560319,,SOLANO,,,Sale/Spec Homes,One Lake Holding LLC,,New Project,2614 Noelani Dr Lot # Lot 72,Fairfield,,,,,,,,,,,,,
House,$ 500000,,MARIN,,,Sale/Spec Homes,Barton Design And Const Inc,,New Project,237 Laurel Grove Ave Lot # Lot 237A,Kentfield,,,,,,,,,,,,,
Pritzker Building Day 2 Phase 3 Base Building Items REBID,$ 1077953,Dome Construction,SAN FRANCISCO,2025-03-01,,Testing/Research/Development Lab,University of California San Francisco,4154768865.0,"Alterations, New Project",675 18th St,SAN FRANCISCO,5103771780.0,6261 HOLLIS ST,OAKLAND,,ALAMEDA,jackson@domebuilds.com,Design-Bid-Build,N,http://domebuilds.com,,,,
9418 Edes Senior Permanent Housing,$ 1000000 - $ 2999999,Swinerton - Bay Area Builders,ALAMEDA,2025-04-01,2026-07-01,Apartments/Condominiums 1-3 Stories,Dignity Moves,,New Project,9418 Edes Ave,OAKLAND,4156171445.0,260 Townsend St Ste 800,San Francisco,,SAN FRANCISCO,sflahive@swinerton.com,,N,,,,,
New Apartment Building,$ 2877150,Brookfield Calwest Builders Llc,SANTA CLARA,2025-01-01,,Apartments/Condominiums 1-3 Stories,,,New Project,953 969 Blaise Ln,Morgan Hill,,500 LA GONDA WAY STE 100,DANVILLE,,CONTRA COSTA,,,N,,,,,
